quinto,クイント,KU I N TO
﻿albino,アルビノ,A RU BI NO
﻿alpinist,アルピニスト,A RU PI NI SU TO
﻿alphabet,アルファベット,A RU HU a BE tsu TO
﻿albumin,アルブミン,A RU BU MI N
﻿alps,アルプス,A RU PU SU
﻿almanac,アルマナック,A RU MA NA tsu KU
﻿tin foil,アルミホイル,A RU MI HO I RU
﻿array,アレイ,A RE I
﻿allergy,アレルギー,A RE RU GI -
﻿arranger,アレンジャー,A RE N ZI ya -
﻿aloe,アロエ,A RO E
﻿alloc,アロック,A RO tsu KU
﻿hour,アワー,A WA -
﻿anchor,アンカー,A N KA -
﻿anchorman,アンカーマン,A N KA - MA N
﻿anklet,アンクレット,A N KU RE tsu TO
﻿angle,アングル,A N GU RU
﻿encore,アンコール,A N KO - RU
﻿encore hour,アンコールアワー,A N KO - RU A WA -
﻿ensemble,アンサンブル,A N SA N BU RU
﻿untied loan,アンタイドローン,A N TA I DO RO - N
﻿untouchable,アンタッチャブル,A N TA tsu TI ya BU RU
﻿under,アンダー,A N DA -
﻿underwear,アンダーウェア,A N DA - U e A
﻿undercoat,アンダーコート,A N DA - KO - TO
﻿undershirt,アンダーシャツ,A N DA - SI ya TU
﻿underskill,アンダースキル,A N DA - SU KI RU
﻿underscore,アンダースコア,A N DA - SU KO A
﻿underhand throw,アンダーハンドスロー,A N DA - HA N DO SU RO -
﻿under par,アンダーパー,A N DA - PA -
﻿underproof,アンダープルーフ,A N DA - PU RU - HU
﻿underplot,アンダープロット,A N DA - PU RO tsu TO
﻿underline,アンダーライン,A N DA - RA I N
﻿andante cantabile,アンダンテカンタービレ,A N DA N TE KA N TA - BI RE
﻿antique fashion,アンチークファッション,A N TI - KU HU a tsu SI yo N
﻿antiknock,アンチノック,A N TI NO tsu KU
﻿antifreeze,アンチフリーズ,A N TI HU RI - ZU
﻿anchovy,アンチョビー,A N TI yo BI -
﻿antique,アンティーク,A N TE i - KU
﻿entree,アントレ,A N TO RE
﻿undo,アンドゥ,A N DO u
﻿android,アンドロイド,A N DO RO I DO
﻿unhappy,アンハッピー,A N HA tsu PI -
﻿amber,アンバー,A N BA -
﻿ambassador,アンバサダー,A N BA SA DA -
﻿unparser,アンパーザー,A N PA - ZA -
﻿umpire,アンパイア,A N PA I A
﻿ambiance,アンビアンス,A N BI A N SU
﻿unfair,アンフェア,A N HU e A
﻿amp,アンプ,A N PU
﻿amplifier,アンプリファイアー,A N PU RI HU a I A -
﻿ampoule,アンプル,A N PU RU
﻿unplayable,アンプレイアブル,A N PU RE I A BU RU
﻿impromptu,アンプロンプチュ,A N PU RO N PU TI yu
﻿ampere,アンペア,A N PE A
﻿ammonite,アンモナイト,A N MO NA I TO
﻿ammonia,アンモニア,A N MO NI A
﻿unlucky,アンラッキー,A N RA tsu KI -
﻿unlock,アンロック,A N RO tsu KU
﻿ether,イーサ,I - SA
﻿easy,イージー,I - ZI -
﻿easy order,イージーオーダー,I - ZI - O - DA -
﻿easy care,イージーケア,I - ZI - KE A
﻿Easter,イースター,I - SU TA -
﻿Eastern League,イースタンリーグ,I - SU TA N RI - GU
﻿east,イースト,I - SU TO
﻿East End,イーストエンド,I - SU TO E N DO
﻿East Coast,イーストコースト,I - SU TO KO - SU TO
﻿East Side,イーストサイド,I - SU TO SA I DO
﻿easel,イーゼル,I - ZE RU
﻿yellow,イエロー,I E RO -
﻿yellow zone,イエローゾーン,I E RO - ZO - N
﻿Yellow Book,イエローブック,I E RO - BU tsu KU
﻿yellow press,イエロープレス,I E RO - PU RE SU
﻿ion,イオン,I O N
﻿ion rocket,イオンロケット,I O N RO KE tsu TO
﻿equipment,イクイップメント,I KU I tsu PU ME N TO
﻿iguana,イグアナ,I GU A NA
﻿ignition key,イグニッションキー,I GU NI tsu SI yo N KI -
﻿igloo,イグルー,I GU RU -
﻿equal,イコール,I KO - RU
﻿equal opportunity,イコールオポチューニティー,I KO - RU O PO TI yu - NI TE i -
﻿equal partner,イコールパートナー,I KO - RU PA - TO NA -
﻿iconography,イコノグラフィー,I KO NO GU RA HU i -
﻿Istanbul,イスタンブール,I SU TA N BU - RU
﻿Israel,イスラエル,I SU RA E RU
﻿italic,イタリック,I TA RI tsu KU
﻿itch,イッチ,I tsu TI
﻿it,イット,I tsu TO
﻿Yippie,イッピー,I tsu PI -
﻿idea,イデー,I DE -
﻿idiom,イディオム,I DE i O MU
﻿ideologue,イデオローグ,I DE O RO - GU
﻿id,イド,I DO
﻿initiative,イニシアチブ,I NI SI A TI BU
﻿initiation,イニシエーション,I NI SI E - SI yo N
﻿initiator,イニシエータ,I NI SI E - TA
﻿initialize,イニシャライズ,I NI SI ya RA I ZU
﻿initial,イニシャル,I NI SI ya RU
﻿inning,イニング,I NI N GU
﻿innocence,イノセンス,I NO SE N SU
﻿innocent,イノセント,I NO SE N TO
﻿innovation,イノベーション,I NO BE - SI yo N
﻿evening,イブニング,I BU NI N GU
﻿evening dress,イブニングドレス,I BU NI N GU DO RE SU
﻿emergency,イマージェンシー,I MA - ZI e N SI -
﻿immigration,イミグレーション,I MI GU RE - SI yo N
﻿imitation,イミテーション,I MI TE - SI yo N
﻿immediate,イミディエイト,I MI DE i E I TO
﻿image character,イメージキャラクター,I ME - ZI KI ya RA KU TA -
﻿image survey,イメージサーベイ,I ME - ZI SA - BE I
﻿image change,イメージチェンジ,I ME - ZI TI e N ZI
﻿image maker,イメージメーカー,I ME - ZI ME - KA -
﻿image research,イメージリサーチ,I ME - ZI RI SA - TI
﻿yearbook,イヤーブック,I YA - BU tsu KU
﻿earmark,イヤマーク,I YA MA - KU
﻿Iraq,イラク,I RA KU
﻿irrational,イラショナル,I RA SI yo NA RU
﻿illegal,イリーガル,I RI - GA RU
﻿illusion,イリュージョン,I RI yu - ZI yo N
﻿illumination,イリュミネイション,I RI yu MI NE I SI yo N
﻿illusion,イルージョン,I RU - ZI yo N
﻿eraser,イレーザー,I RE - ZA -
﻿irregular,イレギュラー,I RE GI yu RA -
﻿Iroquois,イロコイ,I RO KO I
﻿in,イン,I N
﻿income,インカム,I N KA MU
﻿income gain,インカムゲイン,I N KA MU GE I N
﻿income tax,インカムタックス,I N KA MU TA tsu KU SU
﻿incubation,インキュベーション,I N KI yu BE - SI yo N
﻿incubator,インキュベータ,I N KI yu BE - TA
﻿incubate,インキュベート,I N KI yu BE - TO
﻿ink,インク,I N KU
﻿increment,インクリメント,I N KU RI ME N TO
﻿include,インクルード,I N KU RU - DO
﻿England,イングランド,I N GU RA N DO
﻿English breakfast,イングリッシュブレックファースト,I N GU RI tsu SI yu BU RE tsu KU HU a - SU TO
﻿ingot,インゴット,I N GO tsu TO
﻿insert,インサート,I N SA - TO
﻿insider,インサイダー,I N SA I DA -
﻿inside story,インサイドストーリー,I N SA I DO SU TO - RI -
﻿inside baseball,インサイドベースボール,I N SA I DO BE - SU BO - RU
﻿inside belt,インサイドベルト,I N SA I DO BE RU TO
﻿inside report,インサイドレポート,I N SA I DO RE PO - TO
﻿inside work,インサイドワーク,I N SA I DO WA - KU
﻿inshoot,インシュート,I N SI yu - TO
﻿insulation,インシュレーション,I N SI yu RE - SI yo N
﻿injection,インジェクション,I N ZI e KU SI yo N
﻿injector,インジェクター,I N ZI e KU TA -
﻿instance,インスタンス,I N SU TA N SU
﻿institution,インスティテューション,I N SU TE i TE yu - SI yo N
﻿installer,インストーラ,I N SU TO - RA
﻿install,インストール,I N SU TO - RU
﻿instruction,インストラクション,I N SU TO RA KU SI yo N
﻿inspiration,インスピレーション,I N SU PI RE - SI yo N
﻿inspection,インスペクション,I N SU PE KU SI yo N
﻿inspector,インスペクター,I N SU PE KU TA -
﻿incest,インセスト,I N SE SU TO
﻿incense,インセンス,I N SE N SU
﻿incentive,インセンティブ,I N SE N TE i BU
﻿incentive sale,インセンティブセール,I N SE N TE i BU SE - RU
﻿insole,インソール,I N SO - RU
﻿intercut,インターカット,I N TA - KA tsu TO
﻿intercourse,インターコース,I N TA - KO - SU
﻿interceptor,インターセプター,I N TA - SE PU TA -
﻿inter seminar,インターゼミナール,I N TA - ZE MI NA - RU
﻿interchange,インターチェンジ,I N TA - TI e N ZI
﻿international,インターナショナル,I N TA - NA SI yo NA RU
﻿internetwork,インターネットワーク,I N TA - NE tsu TO WA - KU
﻿interval,インターバル,I N TA - BA RU
﻿interface,インターフェース,I N TA - HU e - SU
﻿interfere,インターフェア,I N TA - HU e A
﻿interference,インターフェアランス,I N TA - HU e A RA N SU
﻿interferon,インターフェロン,I N TA - HU e RO N
﻿intercom,インターフォン,I N TA - HU o N
﻿interpreter,インタープリタ,I N TA - PU RI TA
﻿Interpol,インターポール,I N TA - PO - RU
﻿interrupt,インターラプト,I N TA - RA PU TO
﻿interleave,インターリーブ,I N TA - RI - BU
﻿intern,インターン,I N TA - N
﻿interviewer,インタビュアー,I N TA BI yu A -
﻿interpreter,インタプリタ,I N TA PU RI TA
﻿interpretive,インタプリティブ,I N TA PU RI TE i BU
﻿interpret,インタプリト,I N TA PU RI TO
﻿interaction,インタラクション,I N TA RA KU SI yo N
﻿interactive,インタラクティブ,I N TA RA KU TE i BU
﻿interest,インタレスト,I N TA RE SU TO
﻿indirect,インダイレクト,I N DA I RE KU TO
﻿induction,インダクション,I N DA KU SI yo N
﻿industry,インダストリー,I N DA SU TO RI -
﻿industrial,インダストリアル,I N DA SU TO RI A RU
﻿industrial designer,インダストリアルデザイナー,I N DA SU TO RI A RU DE ZA I NA -
﻿industrial design,インダストリアルデザイン,I N DA SU TO RI A RU DE ZA I N
﻿cheating,インチキ,I N TI KI
﻿Inturist,インツーリスト,I N TU - RI SU TO
﻿integration,インテグレーション,I N TE GU RE - SI yo N
﻿integrated,インテグレーテット,I N TE GU RE - TE tsu TO
﻿integrate,インテグレート,I N TE GU RE - TO
﻿integer,インテジャ,I N TE ZI ya
﻿Intelsat,インテルサット,I N TE RU SA tsu TO
﻿intensity,インテンシティ,I N TE N SI TE i
﻿intensive,インテンシブ,I N TE N SI BU
﻿Indiana,インディアナ,I N DE i A NA
﻿Indian,インディアン,I N DE i A N
﻿Indian summer,インディアンサマー,I N DE i A N SA MA -
﻿individual,インディビジュアル,I N DE i BI ZI yu A RU
﻿independent,インディペンデント,I N DE i PE N DE N TO
﻿indexing,インデキシング,I N DE KI SI N GU
﻿index,インデックス,I N DE tsu KU SU
﻿indentation,インデンテーション,I N DE N TE - SI yo N
﻿indent,インデント,I N DE N TO
﻿intro,イントロ,I N TO RO
﻿introduction,イントロダクション,I N TO RO DA KU SI yo N
﻿indoor,インドア,I N DO A
﻿indoor game,インドアゲーム,I N DO A GE - MU
﻿indoor sports,インドアスポーツ,I N DO A SU PO - TU
﻿inner space,インナースペース,I N NA - SU PE - SU
﻿inner trip,インナートリップ,I N NA - TO RI tsu PU
﻿inner life,インナーライフ,I N NA - RA I HU
﻿in high,インハイ,I N HA I
﻿inverse,インバース,I N BA - SU
﻿inverter,インバーター,I N BA - TA -
﻿impact,インパクト,I N PA KU TO
﻿impact loan,インパクトローン,I N PA KU TO RO - N
﻿impulse,インパルス,I N PA RU SU
﻿impedance,インピーダンス,I N PI - DA N SU
﻿infield fly,インフィールドフライ,I N HU i - RU DO HU RA I
﻿informer,インフォーマー,I N HU o - MA -
﻿information,インフォメーション,I N HU o ME - SI yo N
﻿information gap,インフォメーションギャプ,I N HU o ME - SI yo N GI ya PU
﻿information broker,インフォメーションブローカー,I N HU o ME - SI yo N BU RO - KA -
﻿information provider,インフォメーションプロバイダー,I N HU o ME - SI yo N PU RO BA I DA -
﻿information utility,インフォメーションユーティリティー,I N HU o ME - SI yo N YU - TE i RI TE i -
﻿information revolution,インフォメーションレボリューション,I N HU o ME - SI yo N RE BO RI yu - SI yo N
﻿infrastructure,インフラストラクチャー,I N HU RA SU TO RA KU TI ya -
﻿inflation,インフレーション,I N HU RE - SI yo N
﻿input,インプット,I N PU tsu TO
﻿implication,インプリケーション,I N PU RI KE - SI yo N
﻿impressive,インプレッシブ,I N PU RE tsu SI BU
﻿impression,インプレッション,I N PU RE tsu SI yo N
﻿invader,インベーダー,I N BE - DA -
﻿impedance,インペーダンス,I N PE - DA N SU
﻿imperial,インペリアル,I N PE RI A RU
﻿invoice,インボイス,I N BO I SU
﻿import,インポート,I N PO - TO
﻿impotence,インポテンス,I N PO TE N SU
﻿inverse,インヴァース,I N VU a - SU
﻿invariant,インヴァリアント,I N VU a RI A N TO
﻿invention,インヴェンション,I N VU e N SI yo N
﻿invoice,インヴォイス,I N VU o I SU
﻿worsted,ウーステッド,U - SU TE tsu DO
﻿woofer,ウーファー,U - HU a -
﻿woman,ウーマン,U - MA N
﻿woolly cotton,ウーリーコットン,U - RI - KO tsu TO N
﻿wool,ウール,U - RU
